ProjectID,StartDate,EndDate,DurationDays,Budget,TeamSize,ComplexityLevel,ManagerExperienceYears,ClientSatisfaction,QualityScore,Delayed,Success
356,2019-10-04,2020-05-06,215,81479.19,4,1,3,4,0.698,1,1
357,2021-03-09,2021-04-26,48,121016.09,7,3,8,10,0.602,0,1
358,2019-07-15,2020-01-10,179,93077.53,14,1,1,3,0.696,0,1
359,2018-02-19,2019-01-22,337,88692.34,15,5,10,5,0.336,1,0
360,2022-07-22,2023-05-23,305,125588.04,4,3,6,2,0.536,1,0
361,2022-04-02,2022-09-08,159,75825.6,14,2,10,3,0.693,0,1
362,2018-08-19,2018-12-30,133,160050.66,12,1,10,8,0.697,0,1
363,2019-06-23,2019-07-25,32,94475.9,20,1,3,6,0.704,0,1
364,2018-03-03,2018-05-26,84,78092.03,6,2,3,5,0.706,0,1
365,2019-12-13,2020-04-19,128,74959.5,15,2,12,8,0.658,0,1
366,2022-04-22,2023-02-02,286,124722.07,8,5,5,8,0.793,1,1
367,2021-07-29,2022-01-31,186,134983.89,20,5,2,1,0.839,1,1
368,2022-04-12,2022-11-18,220,145299.5,13,3,2,4,0.754,1,0
369,2022-07-17,2023-02-11,209,122379.83,8,1,13,2,0.795,1,1
370,2022-06-30,2023-06-27,362,102863.33,14,4,12,10,0.843,1,1
371,2021-08-06,2022-01-02,149,151881.52,17,1,6,4,0.597,0,1
372,2022-11-21,2023-09-23,306,90761.96,18,2,1,9,0.731,1,1
373,2021-07-29,2022-03-29,243,83714.55,12,3,1,8,0.627,1,0
374,2021-02-20,2021-11-11,264,74210.59,6,3,3,9,0.621,1,0
375,2019-09-13,2019-11-17,65,99391.14,20,5,14,1,1.0,0,1
376,2021-08-28,2022-07-10,316,76669.66,3,2,12,8,0.813,1,0
377,2020-06-06,2021-05-29,357,100950.09,5,1,9,2,0.718,1,1
378,2021-10-20,2022-01-20,92,87443.61,11,5,5,8,0.732,0,1
379,2021-06-22,2022-06-16,359,93565.59,5,5,12,8,0.45,1,0
380,2020-10-31,2021-08-11,284,123321.98,16,5,8,3,0.831,1,0
381,2020-12-09,2021-10-18,313,69355.86,19,2,2,3,0.48,1,0
382,2018-01-16,2018-06-03,138,60954.83,11,5,15,9,1.0,0,1
383,2018-04-05,2019-01-25,295,126967.02,5,3,7,10,0.694,1,0
384,2022-12-28,2023-05-30,153,59176.19,9,3,10,6,0.614,0,1
385,2021-09-13,2021-11-30,78,136913.51,18,2,15,10,0.907,0,1
386,2020-10-27,2021-07-01,247,110040.64,20,1,10,10,0.597,1,1
387,2020-06-28,2021-05-31,337,86242.37,13,3,10,1,0.599,1,0
388,2022-04-01,2023-03-29,362,108095.0,3,4,4,6,0.656,1,0
389,2019-04-29,2020-04-08,345,113590.0,20,2,7,4,0.644,1,1
390,2018-01-10,2018-12-29,353,44139.34,10,3,1,2,0.735,1,0
391,2022-11-10,2023-06-26,228,90938.98,19,1,12,1,0.532,1,0
392,2019-12-07,2020-03-19,103,120182.33,18,4,15,3,0.513,0,1
393,2018-05-09,2018-12-18,223,88307.47,6,1,6,9,0.752,1,0
394,2021-10-14,2022-01-02,80,61102.53,14,3,11,10,0.659,0,1
395,2018-03-09,2019-02-15,343,101920.55,19,5,7,6,0.508,1,1
396,2022-03-29,2022-06-09,72,93518.74,3,3,7,3,0.885,0,1
397,2021-02-27,2022-02-18,356,137518.99,13,2,4,5,0.828,1,1
398,2021-08-08,2022-05-19,284,121176.98,4,1,5,5,0.883,1,1
399,2018-05-17,2018-10-19,155,109548.39,4,3,11,5,0.765,0,1
400,2018-02-10,2019-01-23,347,92417.29,6,1,14,5,0.757,1,1
401,2018-12-13,2019-12-09,361,98209.97,3,2,1,7,0.694,1,1
402,2019-01-06,2019-11-26,324,96727.1,20,3,1,7,0.545,1,0
403,2019-06-22,2019-12-08,169,101965.88,3,1,9,7,0.4,0,1
404,2021-03-23,2021-06-04,73,103483.56,18,3,4,2,0.768,0,0
405,2022-11-28,2023-07-23,237,124950.25,16,2,1,6,0.266,1,1
406,2021-02-04,2021-03-26,50,78221.66,15,2,4,8,0.761,0,1
407,2021-02-10,2021-07-24,164,127704.57,6,3,5,10,0.544,0,1
408,2019-11-07,2020-02-06,91,106914.23,16,2,15,10,0.602,0,1
409,2021-11-18,2022-06-08,202,95232.94,4,2,4,3,0.733,1,0
410,2019-07-01,2019-08-07,37,99227.81,17,3,8,8,1.0,0,1
411,2021-10-07,2022-09-17,345,105027.48,12,3,8,10,0.858,1,1
412,2018-05-09,2019-05-08,364,104939.15,18,5,13,8,0.767,1,1
413,2021-02-25,2021-07-04,129,115968.26,20,5,2,6,0.529,0,1
414,2019-06-20,2020-03-15,269,80709.29,12,4,14,5,0.744,1,1
415,2019-08-23,2019-11-02,71,98396.54,11,3,3,2,0.749,0,0
416,2018-06-07,2019-03-09,275,108515.0,12,1,4,6,0.915,1,0
417,2019-02-05,2020-01-11,340,93896.08,19,4,14,1,0.845,1,1
418,2018-03-21,2018-11-05,229,126173.0,14,4,7,7,0.785,1,0
419,2019-09-20,2020-03-17,179,92560.91,9,3,11,9,0.906,0,1
420,2021-12-20,2022-02-10,52,103012.5,9,1,5,9,0.546,0,1
421,2019-08-27,2020-06-30,308,72593.12,11,1,7,2,0.484,1,1
422,2022-05-28,2022-09-24,119,77870.91,13,5,6,2,0.933,0,0
423,2019-06-22,2020-03-09,261,84025.96,20,2,13,10,0.502,1,1
424,2018-09-23,2018-10-27,34,104242.34,12,5,6,4,0.595,0,1
425,2019-05-27,2019-09-28,124,82796.24,9,1,7,2,1.0,0,1
426,2020-11-27,2021-02-02,67,101478.55,3,5,10,1,0.869,0,1
427,2021-03-08,2021-06-24,108,65260.69,19,3,15,8,0.453,0,1
428,2018-07-14,2019-04-02,262,158215.48,5,1,12,8,0.809,1,1
429,2022-09-25,2022-10-29,34,114868.86,19,5,15,9,0.828,0,1
430,2022-11-29,2023-11-20,356,93682.86,13,2,4,1,0.759,1,0
431,2021-02-06,2021-03-20,42,81150.89,15,5,13,3,0.658,0,1
432,2018-08-19,2019-04-05,229,78235.68,13,4,14,10,0.552,1,1
433,2021-09-24,2022-08-12,322,104497.35,12,2,9,5,0.909,1,1
434,2021-07-04,2021-10-02,90,137862.94,10,1,2,2,0.816,0,1
435,2021-02-04,2022-01-05,335,75437.82,17,5,7,2,0.666,1,1
436,2019-11-02,2020-06-05,216,75770.01,3,3,4,8,0.783,1,1
437,2021-06-02,2021-11-12,163,84965.81,9,5,4,2,0.748,0,0
438,2018-08-06,2019-06-13,311,134935.37,4,2,9,9,0.689,1,1
439,2022-06-26,2023-01-02,190,103130.61,6,5,9,7,0.636,1,0
440,2022-12-08,2023-11-06,333,130153.83,5,2,1,9,0.758,1,0
441,2019-12-21,2020-08-18,241,82450.21,16,2,13,10,0.601,1,1
442,2020-01-01,2020-02-03,33,128735.49,9,4,7,10,0.655,0,1
443,2020-09-14,2021-05-01,229,68903.42,13,1,9,8,0.596,1,1
444,2019-11-17,2020-05-17,182,120072.54,13,4,9,7,0.616,1,1
445,2021-01-27,2021-10-06,252,83162.73,10,4,1,2,0.742,1,0
446,2018-02-14,2018-07-24,160,155567.39,12,5,11,9,0.514,0,1
447,2020-09-26,2021-07-14,291,115844.42,18,5,4,3,0.762,1,1
448,2021-10-03,2022-04-14,193,130614.61,12,1,6,3,0.944,1,1
449,2020-12-03,2021-04-18,136,86062.71,11,3,3,4,0.495,0,1
450,2019-02-19,2019-09-20,213,107859.59,13,3,9,8,0.7,1,1
451,2022-10-19,2022-12-12,54,79908.14,19,4,6,8,0.946,0,1
452,2019-05-24,2020-01-24,245,124409.6,17,2,12,10,0.866,1,0
453,2021-11-21,2022-09-24,307,114224.58,13,5,1,8,0.944,1,1
454,2022-11-12,2023-09-23,315,72480.52,5,1,13,8,0.593,1,1
455,2022-04-16,2022-08-11,117,100852.09,19,3,2,1,0.585,0,1
456,2022-08-15,2022-12-05,112,84454.54,16,2,12,3,0.805,0,1
457,2019-08-27,2019-12-13,108,108272.01,3,4,14,9,0.825,0,1
458,2020-02-16,2020-05-30,104,70684.92,7,3,8,9,0.515,0,1
459,2019-11-01,2020-04-17,168,141814.31,7,5,5,1,0.763,0,0
460,2018-07-16,2018-11-02,109,102410.84,4,1,7,2,0.598,0,0
461,2018-01-16,2018-08-13,209,113468.9,9,2,6,7,0.562,1,1
462,2021-07-24,2022-04-24,274,77126.02,8,2,3,10,0.712,1,1
463,2020-08-15,2021-06-02,291,81611.75,13,5,6,8,0.885,1,1
464,2020-03-28,2020-08-01,126,86652.27,15,5,7,10,0.489,0,1
465,2022-09-04,2022-12-30,117,130327.44,10,2,15,7,0.721,0,1
466,2018-08-07,2019-05-12,278,81270.52,17,3,11,10,0.734,1,1
467,2020-11-03,2021-02-02,91,103338.52,3,5,1,4,0.677,0,0
468,2022-01-17,2022-11-13,300,73235.14,8,1,3,8,0.567,1,1
469,2021-06-23,2021-10-22,121,54094.87,3,5,15,10,0.776,0,1
470,2020-06-28,2021-01-27,213,153893.58,8,4,11,6,0.53,1,1
471,2019-12-02,2020-02-27,87,99848.23,9,2,8,3,0.826,0,0
472,2020-09-27,2021-01-13,108,90378.95,17,3,4,5,0.77,0,0
473,2021-12-27,2022-10-10,287,102045.73,6,5,9,6,0.685,1,1
474,2021-10-23,2022-05-27,216,114211.03,3,4,13,8,0.79,1,1
475,2018-03-03,2018-11-01,243,95626.01,14,1,11,9,0.587,1,1
476,2020-05-12,2020-08-23,103,74085.6,14,1,5,3,0.897,0,0
477,2019-01-03,2019-04-14,101,127147.39,13,2,7,8,0.771,0,1
478,2020-12-25,2021-10-18,297,161621.94,16,2,15,8,0.655,1,1
479,2022-05-28,2022-09-15,110,100258.82,20,1,8,2,0.503,0,1
480,2019-12-21,2020-12-05,350,90707.18,19,3,7,1,0.551,1,1
481,2020-04-13,2020-06-23,71,101416.25,11,4,13,2,0.779,0,0
482,2020-06-17,2020-10-23,128,54939.78,11,2,11,1,0.603,0,1
483,2022-12-18,2023-07-21,215,76516.62,3,1,7,3,0.678,1,0
484,2022-03-26,2022-08-13,140,113502.82,7,5,11,5,0.508,0,1
485,2021-01-09,2021-10-30,294,94663.93,20,4,6,5,0.924,1,1
486,2019-08-19,2020-01-09,143,85908.77,18,5,4,8,0.638,0,1
487,2021-04-03,2021-10-15,195,84664.93,12,2,12,8,0.655,1,1
488,2018-01-03,2018-03-05,61,100392.17,16,4,14,9,0.591,0,0
489,2020-08-12,2020-12-10,120,110923.45,12,5,1,4,0.879,0,1
490,2020-11-02,2021-04-10,159,112488.17,17,1,12,3,1.0,0,1
491,2020-01-15,2021-01-08,359,65828.03,13,3,2,3,0.666,1,0
492,2020-07-02,2020-10-01,91,130195.23,9,3,15,10,0.653,0,1
493,2022-09-04,2022-11-27,84,85587.24,17,1,15,5,0.311,0,1
494,2018-10-20,2019-08-27,311,121577.51,12,3,6,6,0.581,1,1
495,2018-01-28,2018-07-10,163,63027.21,10,5,1,9,0.728,0,1
496,2020-03-09,2021-03-01,357,75147.34,14,5,11,9,0.695,1,1
497,2018-01-08,2018-11-03,299,129914.29,14,4,5,6,0.676,1,1
498,2020-07-19,2020-11-05,109,70173.5,11,4,9,10,0.694,0,1
499,2018-11-24,2019-11-08,349,95676.35,3,1,12,9,0.957,1,1
500,2022-07-07,2023-01-28,205,78129.49,9,2,3,8,0.359,1,1
